code,name,region,num_inhabitants,municip499,municip500_1999,municip2000_9999,municip10000,num_cities,urban_ratio,avg_salary,unemp_rate95,unemp_rate96,num_entrepreneurs,num_crimes95,num_crimes96,num_crimes95_ratio,num_crimes96_ratio
1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167.0,85677.0,99107.0,71.10401816502386,82.24968110789384
2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132.0,2159.0,2674.0,24.29008595472751,30.084154628504567
3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111.0,2824.0,2813.0,37.537218205019144,37.39100382815823
4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109.0,5244.0,5892.0,34.9849559352338,39.30803973501097
5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118.0,2616.0,3040.0,27.359437751004016,31.79384203480589
6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126.0,2640.0,3120.0,33.862216692533636,40.01898336390339
7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130.0,4289.0,4846.0,45.27843758247559,51.15861704935339
8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127.0,5179.0,4987.0,46.21425065810021,44.50095926471244
9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149.0,2987.0,2487.0,36.72059402045633,30.573859166011015
10,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141.0,3810.0,4316.0,41.37526606142218,46.87024890317536
11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154.0,3475.0,3529.0,45.94312307468567,46.65705937570237
12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137.0,3804.0,3868.0,35.26467043663669,35.857977194771486
13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123.0,1597.0,1875.0,29.617403238070512,34.77309397080915
14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135.0,6604.0,6295.0,37.16668730231982,35.42766453181455
15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124.0,1845.0,1879.0,31.37968569290428,31.957956323559426
16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107.0,1874.0,1913.0,19.950814959917388,20.366013350225167
17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119.0,1003.0,1181.0,13.542707461316194,15.94609921417191
18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131.0,1740.0,1910.0,24.611380641876124,27.015940819530687
19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120.0,999.0,1099.0,19.425215835731507,21.369681885354282
20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120.0,1563.0,1542.0,22.12439487019789,21.827138125300795
21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123.0,2299.0,2354.0,22.245444957279844,22.777632635683666
22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100.0,1089.0,1117.0,18.647260273972602,19.126712328767123
23,Cheb,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102.0,2879.0,3198.0,32.933344009883434,36.58243631247212
24,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128.0,5198.0,5273.0,42.39700496725202,43.008735512181595
25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113.0,1822.0,2218.0,20.527958358214,24.989578286783015
26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131.0,6041.0,6261.0,35.44168636952989,36.732395027251556
27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110.0,1029.0,1127.0,15.290201789057624,16.74641148325359
28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112.0,1580.0,1525.0,21.780786038240443,21.02259411918777
29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113.0,818.0,888.0,17.89386183663648,19.425121407008795
30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100.0,2985.0,2804.0,31.483356537147195,29.574315487491035
31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108.0,1328.0,1452.0,25.880381189951866,28.296922807085924
32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118.0,4340.0,4505.0,41.31051419216052,42.881075215595196
33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116.0,4650.0,4859.0,34.75933830180076,36.32163974375266
34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100.0,5323.0,5190.0,42.503752914497426,41.44175796096969
35,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130.0,3384.0,3620.0,38.12184571016583,40.780461427541454
36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131.0,5796.0,6132.0,36.31192166247956,38.416960599434894
37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123.0,4147.0,4166.0,36.37527849411435,36.541936389312845
38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104.0,2653.0,2822.0,30.902017425336627,32.8705213623445
39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90.0,4947.0,4743.0,41.261103465532344,39.55961466282998
40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97.0,6949.0,6872.0,54.23906086576437,53.63805242042492
41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114.0,6445.0,5471.0,54.31942688579857,46.11040876527602
42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87.0,1658.0,1668.0,17.28758067711429,17.39184835309206
43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125.0,4085.0,3891.0,25.23879545763466,24.040184363685793
44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97.0,2166.0,2325.0,20.510198284188398,22.015794557127435
45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132.0,2080.0,2122.0,26.695072962254706,27.23410808937716
46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117.0,2854.0,2618.0,25.32184652512222,23.22795872556761
47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111.0,6079.0,5410.0,37.39082297945627,33.27592569811785
48,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124.0,1655.0,1717.0,20.961307073649547,21.74656449876512
49,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155.0,1660.0,2123.0,21.933011825328666,28.050472352513708
50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94.0,2123.0,2134.0,20.690192868072,20.7973959399273
51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131.0,3496.0,3839.0,28.668191919440414,31.480889238767663
52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108.0,2564.0,2799.0,18.444450838776508,20.134952378211953
53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99.0,1850.0,1903.0,17.143757355598595,17.634902836596826
54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140.0,18721.0,18696.0,48.303532265139204,48.239027788528524
55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111.0,3659.0,3894.0,23.29949949694986,24.795914468740847
56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126.0,2854.0,3158.0,22.904377833955298,25.3440873159183
57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116.0,3729.0,3651.0,23.025056497523988,22.543438260246738
58,Jihlava,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96.0,2212.0,2471.0,20.26309039610128,22.635667436151113
59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106.0,2595.0,2305.0,23.835548493170815,21.17184557871242
60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115.0,1879.0,2252.0,16.98254747250165,20.3537503502255
61,Trebic,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107.0,2112.0,2059.0,17.91394183058093,17.464396888809723
62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109.0,2719.0,2906.0,18.663170611169075,19.94673548953929
63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110.0,1562.0,1460.0,18.05508998647602,16.876076427820095
64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145.0,4484.0,4265.0,22.74998858441697,21.638871835980904
65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105.0,2157.0,2718.0,18.887915936952716,23.800350262697023
66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102.0,2247.0,2103.0,17.857142857142858,16.712759870303262
67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109.0,3244.0,3079.0,30.588190921605975,29.032379731080393
68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96.0,5623.0,5887.0,24.570894217996223,25.724498356988043
70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81.0,9878.0,10108.0,34.612648789188015,35.41857197419644
71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102.0,4980.0,4595.0,30.888126678533993,28.500189174269817
72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110.0,9672.0,9208.0,42.773370127630216,40.721380493715785
73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90.0,4355.0,4433.0,23.925022112104248,24.353529970828504
74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100.0,18782.0,18347.0,57.992404359773985,56.649272856393
75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99.0,4063.0,4505.0,29.435203431088443,32.63735945288049
76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107.0,3736.0,2807.0,29.332098077240143,22.038329577840763
77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113.0,3460.0,3590.0,23.292604934531624,24.16776061126258
69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124.0,1279.0816000179493,1358.0,29.87042806141728,31.713411643819622
